GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
"DNA, (Cm-Gm-Gm-Gm-G-T-G-T-G-G-G-T-T-C-G-T-C-G-T-T-A-G-C-T-T-G-A-T-T-T-G-G-C-A-G-C-Um-Gm-Cm-Cm-(5'->3')-idT), 5'-ester with (29S)-29-carboxy-8,17,26,31-tetraoxo-10,13,19,22-tetraoxa-7,16,25,30-tetraazaoctatetracontan-48-oic acid"		2/21/2024	Treatment of X-Linked Hypophosphatemia	Designated	Not FDA Approved for Orphan Indication	Aptacure Therapeutics Limited
sirpiglenastat		2/20/2024	Treatment of Hepatocellular Carcinoma	Designated	Not FDA Approved for Orphan Indication	"Dracen Pharmaceuticals, Inc"
co-packaged combination of pocapavir and imocitrelvir		2/20/2024	Treatment of poliovirus infection	Designated	Not FDA Approved for Orphan Indication	ViroDefense Inc.
Spesolimab-sbzo		2/20/2024	Treatment of Netherton Syndrome	Designated	Not FDA Approved for Orphan Indication	"Boehringer Ingelheim Pharmaceuticals, Inc"
CAR-T cell engager protein that links the CD19-directed CAR-T cell to a B cell antigen CD20		2/20/2024	Treatment of mantle cell lymphoma	Designated	Not FDA Approved for Orphan Indication	Aleta Biotherapeutics
Small molecule inhibitor of non-muscle myosin II (NMII) A and B		2/20/2024	Treatment of Malignant Glioma	Designated	Not FDA Approved for Orphan Indication	Myosin Therapeutics Inc.
N-sulfoglucosamine sulfohydrolase		2/20/2024	Treatment of Mucopolysaccharidosis type IIIA (MPS IIIA; Sanfilippo syndrome type A)	Designated	Not FDA Approved for Orphan Indication	Denali Therapeutics Inc.
Gleolan		2/15/2024	"diagnostic for the management of ovarian, fallopian tube, and primary peritoneal cancer"	Designated	Not FDA Approved for Orphan Indication	NX Development Corp.
Recombinant adeno-associated virus vector serotype 5 (AAV5) harboring a codon-optimized human GLA transgene		2/15/2024	Treatment of Fabry Disease	Designated	Not FDA Approved for Orphan Indication	"Sichuan Real&Best Biotech Co., Ltd."
Cannabidiol		2/14/2024	Treatment of pericarditis.	Designated	Not FDA Approved for Orphan Indication	Cardiol Therapeutics Inc.
olezarsen		2/14/2024	Treatment of Familial Chylomicronemia Syndrome	Designated	Not FDA Approved for Orphan Indication	Ionis Pharmaceuticals
Camoteskimab		2/14/2024	Treatment of Still’s Disease including Adult-Onset Still’s Disease and Systemic Juvenile Idiopathic Arthritis	Designated	Not FDA Approved for Orphan Indication	Apollo Therapeutics Inc.
rexlemestrocel-L		2/14/2024	Treatment of Hypoplastic Left Heart Syndrome	Designated	Not FDA Approved for Orphan Indication	"Mesoblast, Inc."
pitolisant		2/12/2024	Treatment of Prader-Willi syndrome (PWS)	Designated	Not FDA Approved for Orphan Indication	"Harmony Biosciences, LLC"
"(S)-2-methoxy-3-(4-(2-(5-methyl-2-phenyloxazol-4-yl)ethoxy-1,1-d2)benzo[b]thiophen-7-yl)propanoic acid"		2/12/2024	Treatment of autosomal dominant polycystic kidney disease	Designated	Not FDA Approved for Orphan Indication	Shanghai Alebund Pharmaceuticals Ltd.
Recombinant Oncolytic Herpes Simplex Virus Type II (OH2) Therapeutic Injection (Vero Cell) for Human Use (rHSV2hGM-CSF)		2/12/2024	Treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	"Binhui Biopharmaceutical Co., Ltd."
recombinant humanized monoclonal antibody targeting transmembrane serine protease matripase-6		2/8/2024	Treatment of Polycythemia Vera	Designated	Not FDA Approved for Orphan Indication	"Disc Medicine, Inc."
"recombinant, humanized immunoglobulin G1 monoclonal antibody that targets the leukocyte immunoglobulin-like receptor subfamily B4"		2/8/2024	Treatment of Chronic Myelomonocytic Leukemia	Designated	Not FDA Approved for Orphan Indication	Immune-Onc Therapeutics
small molecule inhibitor of the B-Raf protein		2/8/2024	Treatment of epidermal growth factor receptor inhibitor (EGFRi) and mitogen-activated extracellular signal-regulated kinase inhibitor (MEKi) induced acneiform rash	Designated	Not FDA Approved for Orphan Indication	Lutris Pharma Ltd.
DAsn-Ile-Pro-Nva-Leu-Tyr-DSer-Phe-Ala-DSer		2/8/2024	Treatment of Duchenne Muscular Dystrophy (DMD)	Designated	Not FDA Approved for Orphan Indication	"Allysta Pharmaceuticals, Inc."
"Modified Recombinant adeno-associated virus (rAAV) serotype 2 vector, AAV.IVT18, expressing human retinoschisis gene RS1 driven by RS1 and CMV chimeric promoter"		2/8/2024	Treatment of X-linked Retinoschisis	Designated	Not FDA Approved for Orphan Indication	InnoVec Biotherapeutics Inc.
"[4,4'-(((dodecylazanediyl)bis(ethane-2,1-diyl))bis(azanediyl))bis(7-chloroquinoline 1-oxide)]"		2/8/2024	Treatment of Pancreatic Cancer	Designated	Not FDA Approved for Orphan Indication	Theranostec Inc.
Tigilanol Tiglate		2/8/2024	Treatment of Soft Tissue Sarcoma	Designated	Not FDA Approved for Orphan Indication	QBiotics Group Limited
Soquelitinib		2/7/2024	Treatment of T-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	"Corvus Pharmaceuticals, Inc."
adeno-associated virus gene therapy comprised of a transgene cassette encoding codon-optimzed human CFTR delta R		2/5/2024	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	"4D Molecular Therapeutics, Inc."
Cinnamtannin B-1		2/5/2024	Treatment of Osteosarcoma	Designated	Not FDA Approved for Orphan Indication	"GTS Biotech, LLC"
furmonertinib		2/5/2024	Treatment of non-small cell lung cancer with epidermal growth factor receptor (EGFR) mutations or human epidermal growth factor receptor 2 (HER2) mutations or HER4 mutations.	Designated	Not FDA Approved for Orphan Indication	"ArriVent Biopharma, Inc."
A potent negative allosteric modulator (NAM) of human alpha5-GABAA receptor		1/31/2024	Treatment of trigeminal neuralgia	Designated	Not FDA Approved for Orphan Indication	"Shanghai SIMR Biotechnology Co., Ltd."
Sodium Hypochlorite		1/31/2024	Treatment of walled-off pancreatic necrosis	Designated	Not FDA Approved for Orphan Indication	Johns Hopkins University School of Medicine
autologous anti-CD19 chimeric antibody receptor T cells designed to deplete CD19+ B cells		1/31/2024	Treatment of Idiopathic Inflammatory Myopathies (IIM)	Designated	Not FDA Approved for Orphan Indication	"Cabaletta Bio, Inc"
"(4R)-3-(4-fluoro-2-hydroxyphenyl)-4-methyl-4,5-dihydro- 1H-pyrazole-1-carboximidamide hydrochloride"		1/30/2024	Treatment of systemic sclerosis	Designated	Not FDA Approved for Orphan Indication	AnaMar AB
"5-BROMO-N-(PROP-2-YN-1-YL)-2-(1H-1,2,4-TRIAZOL-1-YL) PYRIMIDINE-4,6-DIAMINE"		1/30/2024	Treatment of Prader-Willi syndrome	Designated	Not FDA Approved for Orphan Indication	Palobiofarma S.L.
enriched CD34+ hematopoietic stem and progenitor cells / highly purified CD34-CD25+CD4+CD127-regulatory T cells / conventional T cells (Orca-T)		1/30/2024	Prevention of graft-versus-host disease and/or death in patients undergoing hematopoietic stem cell transplant.	Designated	Not FDA Approved for Orphan Indication	"Orca Biosystems, Inc."
CD30-Targeted Genetically-modified Autologous T-cell immunotherapy		1/29/2024	Treatment of Anaplastic Large Cell Lymphoma	Designated	Not FDA Approved for Orphan Indication	"Wu Han Bio-raid Biotech Co., Ltd."
ocifisertib		1/29/2024	Treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	Treadwell Therapeutics
lanraplenib		1/29/2024	Treatment of Acute Myeloid Leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	"Kronos Bio, Inc."
Signal regulatory protein alpha (SIRPalpha)-Exosome		1/25/2024	Treatment of acute liver failure regardless of etiology	Designated	Not FDA Approved for Orphan Indication	SHIFTBIO INC.
Imiquimod-Ferulic Acid		1/23/2024	Treatment of Cutaneous Leishmaniasis	Designated	Not FDA Approved for Orphan Indication	Celista Pharmaceuticals LLC
Antisense oligonucleotide targeting TUBB4A mRNA		1/23/2024	Treatment of TUBB4A related Isolated Hypomyelination	Designated	Not FDA Approved for Orphan Indication	SynaptixBio Ltd.
Recombinant adeno-associated virus type 5 vector containing codon optimized human RPGR^ORF15 protein coding gene (rAAV5-hRPGR^ORF15)		1/22/2024	Treatment of Retinal Dystrophies Due to Defects in the RPGR Gene	Designated	Not FDA Approved for Orphan Indication	"Frontera Therapeutics, Inc"
An anti-Claudin18.2 monoclonal antibody conjugated with Duostatin-5 (DUO-5) payload		1/22/2024	"Treatment of Gastric Cancer, including cancer of the gastroesophageal junction (GEJ)"	Designated	Not FDA Approved for Orphan Indication	"Shandong Boan Biotechnology Co., Ltd."
antisense oligonucleotide (ASO) binding SMN2 pre-mRNA		1/22/2024	Treatment of Spinal Muscular Atrophy	Designated	Not FDA Approved for Orphan Indication	Biogen
Human monoclonal IgG1 antibody against the isoform 2 of human Claudin 18 protein (Claudin 18.2)		1/22/2024	"Treatment of Gastric Cancer, including Cancer of the Gastroesophageal Junction"	Designated	Not FDA Approved for Orphan Indication	"Shandong Boan Biotechnology Co., Ltd."
"2-(4-(((4-methoxyphenyl)thio)methyl)-1H-1,2,3-triazol-1-yl)-N,N-dimethylethan-1-aminium hydrochloride"		1/22/2024	Treatment of retinal dystrophy associated with PDE6 mutation	Designated	Not FDA Approved for Orphan Indication	Miramoon Pharma SL
regulatory T cell activating peptide		1/19/2024	Treatment of eosinophilic esophagitis	Designated	Not FDA Approved for Orphan Indication	Revolo Biotherapeutics
Prime edited CD34+ cell-based drug product targeting the delGT mutation in the NCF1 gene		1/19/2024	Treatment of Chronic Granulomatous Disease	Designated	Not FDA Approved for Orphan Indication	Prime Medicine
Recombinant human interleukin-7 fused to a hybrid crystallizable fragment region of a human antibody (rhIL-7-hyFc)		1/18/2024	Treatment of Pancreatic Cancer (PC)	Designated	Not FDA Approved for Orphan Indication	NeoImmuneTech
autologous CAR-T cell targeting HER2 and IL13Ralpha2 that simultaneously secrete CD3 EGFR/EGFRvIII bispecific T cell engagers		1/18/2024	Treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	"Shanghai Simnova Biotechnology Co., Ltd."
"replication-incompetent human mastadenovirus C serotype 5, with E1 and partial E3 deletions that encodes a hTERT RNA-targeting trans-splicing ribozyme with HSVtk transgene"		1/18/2024	Treatment of hepatocellular carcinoma (HCC)	Designated	Not FDA Approved for Orphan Indication	Rznomics
recombinant human N-acetylglucosamine-6-sulfatase enzyme (rhGNS)		1/16/2024	Treatment of Sanfilippo Syndrome type D (also known as Mucopolysaccharidosis MPS IIID)	Designated	Not FDA Approved for Orphan Indication	Phoenix Nest Inc.
mitogen-activated protein kinase / phosphatidylinositol 3-kinase / mammalian target of rapamycin inhibitor		1/12/2024	Treatment of Myelofibrosis	Designated	Not FDA Approved for Orphan Indication	Lympharma LLC
"N-(2,6-diethyphenyl)-8-({4-[4-(dimethylamino)piperidin-1-yl]-2- methoxyphenyl}amino)-1-methyl-4,5-dihydro-1H-pyrazolo[4,3-h]quinazoline-3-carboxamide phosphate"		1/11/2024	Treatment of hepatocellular carcinoma (HCC)	Designated	Not FDA Approved for Orphan Indication	Nerviano Medical Sciences S.r.l.
Adeno-associated virus serotype SLB101 containing the human microdystrophin gene (h-muD5)		1/11/2024	Treatment of Duchenne muscular dystrophy (DMD)	Designated	Not FDA Approved for Orphan Indication	Solid Biosciences Inc.
Thrombin-preconditioned allogeneic Wharton's Jelly-derived mesenchymal stem cells		1/11/2024	Treatment of neonatal intraventricular hemorrhage (IVH)	Designated	Not FDA Approved for Orphan Indication	Medinno Inc.
polyethylene glycol-3350		1/11/2024	Treatment of peripheral nerve injury requiring repair	Designated	Not FDA Approved for Orphan Indication	"Neuraptive Therapeutics, Inc."
"4-(3-(4-(1H-imidazo[4,5-b]pyridin-5-yl)piperazine-1-carbonyl)-4-fluorobenzyl)phthalazin-1(2H)-one hydrochloride dihydrate"		1/9/2024	Treatment of small cell lung cancer (SCLC)	Designated	Not FDA Approved for Orphan Indication	"Shanghai Yidian Pharmaceutical Technology Development Co., Ltd."
adeno-associated virus serotype 9/rh74 containing the human Capn3 gene and a target sequence of cardiac-specific microRNA		1/4/2024	Treatment of autosomal recessive disorder Limb Girdle Muscular Dystrophy R1 Calpain-related (LGMDR1)	Designated	Not FDA Approved for Orphan Indication	Atamyo Therapeutics
A recombinant adeno-associated virus serotype 9 (rAAV9) vector carrying a compact high-fidelity Cas12i (hfCas12Max) and a CRISPR RNA (crRNA) targeting human DMD exon 51 SD site		1/4/2024	Treatment of Duchenne Muscular Dystrophy (DMD)	Designated	Not FDA Approved for Orphan Indication	"Cholgene Therapeutics, Inc."
Recombinant anti-SIRPalpha humanized monoclonal antibody		1/4/2024	Treatment of gastric cancer	Designated	Not FDA Approved for Orphan Indication	BioRay Pharmaceutical Corp.
"4-[[(1S)-1-(4, 8-dichloro-1-oxo-2-phenyl-3-isoquinolyl) ethyl] amino]-8H-pyrido[2,3-d] pyrimidin-5-one]"		1/3/2024	Treatment of angioimmunoblastic T-cell lymphoma (AITL)	Designated	Not FDA Approved for Orphan Indication	"Boryung Co., Ltd."
"Glycine, L-prolyl-L-prolyl-L-leucyl-L-seryl-L-glutaminyl-L-alpha-glutamyl-L-threonyl-L-phenylalanyl-L-seryl-L-alpha-aspartyl-L-leucyl-L-tryptophyl-L-lysyl-L-leucyl-L-leucyl-L-lysyl-L-lysyl-L-tryptophyl-L-lysyl-L-methionyl-L-arginyl-L-arginyl-L-asparaginyl-L-glutaminyl-L-phenylalanyl-L-tryptophyl-L-valyl-L-lysyl-L-valyl-L-glutaminyl-L-arginyl-"		12/28/2023	Treatment of Osteosarcoma	Designated	Not FDA Approved for Orphan Indication	"Oncolyze, Inc."
Thrombin-preconditioned allogeneic Wharton's Jelly-derived mesenchymal stem cells		12/28/2023	Treatment of neonatal hypoxic ischemic encephalopathy	Designated	Not FDA Approved for Orphan Indication	Medinno Inc.
carboplatin		12/28/2023	Treatment of malignant glioma.	Designated	Not FDA Approved for Orphan Indication	Carthera
lixumistat		12/27/2023	Treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	"ImmunoMet Therapeutics, Inc."
lipophilic derivative of dimercaptosuccinic acid sulfur containing chelator		12/27/2023	Treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	Pleco Therapeutics USA Inc.
Autologous T cells transduced with natural T cell receptor (TCR) that recognizes the HLA-A-restricted HBsAg epitope		12/27/2023	Treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	SCG Cell Therapy Pte. Ltd.
"Pseudomonas aeruginosa-specific Bacteriophage Mixture, Live consisting of 3 bacteriophages (IHMA-2121771-1, IHMA-2121771-2, IHMA-2121908-1)"		12/27/2023	Treatment of chronic pulmonary infection caused by Pseudomonas aeruginosa in patients with Cystic Fibrosis	Designated	Not FDA Approved for Orphan Indication	BiomX Inc.
Small molecule chaperone to stabilize and rescue the activity of dysfunctional phenylalanine variants		12/27/2023	Treatment of Phenylketonuria	Designated	Not FDA Approved for Orphan Indication	Pluvia AS
Amphotericin B		12/26/2023	Treatment of Cystic Fibrosis	Designated	Not FDA Approved for Orphan Indication	"cystetic Medicines, Inc."
Aldafermin		12/21/2023	Treatment of Primary Sclerosing Cholangitis	Designated	Not FDA Approved for Orphan Indication	NGM Biopharmaceuticals Inc.
anti-Claudin18.2 monoclonal antibody conjugated with Duostatin-5 payload		12/21/2023	Treatment of Pancreatic Cancer	Designated	Not FDA Approved for Orphan Indication	"Shandong Boan Biotechnology Co., Ltd."
Dual recombinant adeno-associated viral vectors encoding the human otoferlin gene		12/21/2023	Treatment of otoferlin-mediated hearing loss	Designated	Not FDA Approved for Orphan Indication	"Shanghai Refreshgene Therapeutics Co., Ltd."
small molecule inhibitor of protein arginine methyltransferase 5 (PRMT5)		12/21/2023	Treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	"Tango Therapeutics, Inc."
Sonrotoclax		12/21/2023	Treatment of Mantle Cell Lymphoma	Designated	Not FDA Approved for Orphan Indication	"BeiGene USA, Inc"
Human monoclonal IgG1 antibody against the isoform 2 of human Claudin 18 protein (Claudin 18.2)		12/21/2023	Treatment of Pancreatic Cancer	Designated	Not FDA Approved for Orphan Indication	"Shandong Boan Biotechnology Co., Ltd."
Corneal Endothelial Cells Substitute derived from human allogeneic iPS Cells		12/20/2023	Treatment of bullous keratopathy	Designated	Not FDA Approved for Orphan Indication	"Cellusion, Inc."
